genitive_form,nominative_form,example_count,example_raw
Đorđa,Đorđe,1,"KOŠIĆ  Đorđa BOŠKO, 1923, Prnjavor, BiH, Srbin, zemljoradnik, u NOB od januara 1"
Đure,Đura,1,"KVURČIĆ  Đure PETAR, 1924, Golovac, Biograd na moru, Hrvat- ska, Srbin, radnik, "
Milutina,Milutin,2,"GALONJA  Milutina MIRKO, 1926, Vrtoče, Bosanski Petrovac, BiH, Srbin, zemljoradn"
Dušana,Dušan,3,"PUCAR  Dušana DRAGIĆA, 1926, BiH, Srpkinja, domaćica, član SKOJ-a od 1944, u NOB"
Nikole,Nikola,2,"ŠORGIĆ  Nikole NIKOLA, 1903, Čista Mala, Šibenik, Hrvatska, Srbin, radnik, član "
Peje,Peja,1,"SOLDAT  Peje BRANKO, 1910, Kriškovci, BiH, Srbin, službenik, član KPJ od 1941, u"
Miloša,Miloš,3,"MIŠKOVIĆ  Miloša ŠUJO, 1900, Andrijevica, Crna Gora, Crnogorac, radnik, u NOB od"
Vojislava,Vojislav,1,"JOVANOVIĆ  Vojislava RADOVAN, 1926, Veselinovac, Valjevo, Srbija, Srbin, učenik "
Mihaila,Mihailo,2,"MIKIĆ  Mihaila ŽIVKO, 1928, Kaoci, Srbac, BiH, Srbin, zemljorad- nik, član SKOJ-"
Živorada,Živorad,2,"RANKOVIĆ  Živorada JORDAN, 1923, Suvodanje, Valjevo, Srbija, Srbin, zemljoradnik"
Miloja,Milo,1,"NINKOVIĆ  Miloja VELIZAR, Srbin, zemljoradnik, u NOB od 1944, u brigadi od 1944,"
Marka,Marko,2,"SAMARDŽIĆ  Marka NIKOLA, 1913, Unište, Bosansko Grahovo, BiH, Srbin, zemljoradni"
Milovana,Milovan,1,"MIJAJLO VIĆ Milovana DOBRIVOJE, 1923, Stojnik, Sopot, Srbija, Srbin, zemljoradni"
Jakova,Jakov,1,"ALTARAC  Jakova SANTO, 1910, Sarajevo, BiH, Jevrejin, učitelj, u NOB od 1943, u "
Alberta,Alberto,1,"STOJANOVIĆ  Alberta FRANJO, 1923, Babina Greda, Županja, Hrvatska, Hrvat, zemljo"
Petra,Petar,3,"RAJKOVIĆ  Petra LJUBISAV, 1923, Pridvorica, Lajkovac, Srbija, Srbin, zemljoradni"
Jožefa,Jožef,1,"MANFREDO  Jožefa IVAN, 1916, Esen, Austrijan., tesar, član KPJ od 1941, u brigad"
Tase,Tasa,1,"VASILJEVIĆ  Tase MILOSAV, 1911, Gledić, Kraljevo, Srbija, Srbin, zemljoradnik, u"
Mladena,Mladen,1,"PERKOVIĆ  Mladena ALEKSANDAR, Srbija, Srbin, u NOB od 1944, u brigadi od 1944, I"
Tome,Toma,2,"JUSUPOVIĆ  Tome UGLJEŠA, 1923, Štrpci, Prnjavor, BiH, Srbin, zemljoradnik, u NOB"
Danila,Danilo,1,"STANIŠIĆ  Danila DRAGO, 1920, Sintesi, Srbac, BiH, Srbin, zemljoradnik, u NOB od"
Mirka,Mirko,1,"BOŽOVIĆ  Mirka RADOMIR RAKA, 1910, Stijena, Titograd, Crna Gora, Crnogorac, zeml"
Vučka,Vučko,1,"STOJANOVIĆ  Vučka VOJISLAV, 1921, Donji Matejevac, Niš, Srbija, Srbin, zemljorad"
Savića,Savić,1,"POPOVIĆ  Savića ĐORĐIJA, 1904, Doljani, Titograd, Crna Gora, Crnogorac, pekar, u"
Sime,Sima,1,"ZOBENICA  Sime TOMO, 1920, Oraovac, Donji Lapac, Hrvatska, Srbin, zemljoradnik, "
Momčila,Momčilo,1,"NIKOLIĆ  Momčila DRAGO, 1923, Opravdići, Bratunac, BiH, Srbin, zemljoradnik, u N"
Stanimira,Stanimir,1,"MILOŠEVIĆ  Stanimira MIROSLAV, 1925, Donji Lajkovac, Srbija, Srbin, zemljoradnik"
Šabana,Šaban,1,"ĐOCAJ  Šabana SELM AN, 1916, s. Kovrage, Istok, Kosovo i Metohija, Albanac, zeml"
JOVAN,Jovan,1,"TOMOVIĆ  Dura JOVAN JOVO, 1905, Podgora, Bar, Crna Gora, Crnogorac, zemljoradnik"
Adama,Adam,1,"PETKOVIĆ  Adama BRANISLAV, 1923, Nepričava, Lajkovac, Srbija, Srbin, zemljoradni"
Lazara,Lazar,1,"MATIĆ  Lazara MELANIJA, 1925, Čevljanovići, Sarajevo, BiH, Srpkinja, učenica, čl"
Blaže,Blažo,1,"MILATOVIĆ  Blaže ZLATIJA, 1920, Crnci, Titograd, Crna Gora, Crnogorska, zemljora"
Mihajla,Mihajlo,1,"PILJANOVIĆ  Mihajla RISTO, 1897, Petrovići, Šekovići, BiH, Srbin, zemljoradnik, "
Trivka,Trivko,1,"VASILJEVIĆ  Trivka MILE, 1901, Seljani, Rogatica, BiH, Srbin, radnik, u NOB od s"
Ljube,Ljubo,1,"OLJAČA MILJANOVIĆ Ljube BRANKA, 1926, Moslovare, Kotor Varoš, BiH, Srpkinja, oml"
Milana,Milan,1,"PETROVIĆ  Milana MARIJA, 1925, Baćevac, Barajevo, Srbija, Srpkinja, domaćica, u "
Maksima,Maksim,1,"KONURSKI  Maksima SAVO, Rovinj, Hrvatska, Srbin, radnik, u NOB od 1943, u brigad"
Antona,Anton,1,"MILIĆ  Antona ANTON, 1908, Plnič, Trst, Slovenac, radnik, član KPJ od 1941, u NO"
Ljubiše,Ljubiša,1,"JOVANOVIĆ  Ljubiše MIHAJLO, 1926, Slovac, Lajkovac, Srbija, Srbin, zemljoradnik,"
Save,Sava,2,"DOTLIĆ  Save PETAR, 1917, Visuć, Titova Korenica, Hrvatska, Srbin, rudar, u NOB "
Jove,Jovo,1,"TOŠIĆ  Jove NOVAK, 1922, Palačkovci, Prnjavor, BiH, Srbin, zemljoradnik, u NOB o"
Živka,Živko,1,"JAKŠIĆ  Živka SVETISLAV, 1927, Selevac, Smed. Palanka, Srbija, Srbin, zemljoradn"
Miše,Miša,1,"STANKOVIĆ  Miše DRAGIŠA, Bogosavac, Šabac, Srbija, Srbin, zemljoradnik, u NOB od"
